"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3070000","2023307029907500001","2023-04-18","","01","영업/정상","5","영업개시전","","","","","02-380-5042","828.69","","서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가","서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)","02721","이마트에브리데이 길음점","2023-04-18 18:22:17","I","2022-12-03 22:00:00.0","구분없음","201912.435615622","455775.861032353",""
"3240000","2011324017507500001","2011-11-28","","03","폐업","3","폐업처리","2023-03-24","","","","0222963651","363.69","","","서울특별시 강동구 고덕로 99 (암사동)","134-855","(주)이마트에브리데이 암사동점","2023-03-21 18:54:48","U","2022-12-04 22:06:00.0","구분없음","211970.119823136","450308.559655461",""
"3230000","2009323013107500001","2009-05-11","","01","영업/정상","1","정상영업","","","","","000221574024","84471","138-200","서울특별시 송파구 문정동 292번지 외 29필지","서울특별시 송파구 충민로 10 (문정동)","138-962","가든파이브 툴","2023-01-16 17:51:49","U","2022-12-04 22:06:00.0","쇼핑센터","210480.282018702","441833.16323518",""
"3070000","2023307029907500002","2023-04-18","","01","영업/정상","5","영업개시전","","","","","02-380-5042","828.69","","서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가","서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)","02721","이마트에브리데이 길음점","2023-04-20 09:38:33","I","2022-12-03 22:03:00.0","구분없음","201912.435615622","455775.861032353",""
"3010000","2011301010007500003","2011-10-06","","03","폐업","3","폐업처리","2023-04-20","2015-05-30","2015-08-14","","02-778-5603","107.8","100-011","서울특별시 중구 충무로1가 25번지 8호","서울특별시 중구 명동8나길 47 (충무로1가)","","롯데쇼핑(주)롯데슈퍼명동점","2023-04-24 13:05:24","U","2022-12-03 22:06:00.0","그 밖의 대규모점포","198364.631775078","450975.950410804",""
"3240000","2019324023607500002","2019-10-30","","03","폐업","3","폐업처리","2023-04-14","","","","02-380-5554","530.68","","서울특별시 강동구 성내동 595번지 코오롱 2차아파트","서울특별시 강동구 올림픽로 572, 상가동 1층 101,102호 (성내동, 코오롱 2차아파트)","05391","이마트에브리데이 성내점","2023-04-28 17:58:50","U","2022-12-03 21:00:00.0","구분없음","210694.989265395","447815.986328694",""
"3180000","2023318025507500001","2023-05-25","","01","영업/정상","1","정상영업","","","","","02-2006-2676","203.2","","서울특별시 영등포구 문래동6가 33","서울특별시 영등포구 문래북로 8, 1층 101~106호 (문래동6가)","07280","GS THE FRESH 문래점","2023-10-06 14:22:08","U","2022-10-31 00:08:00.0","구분없음","189825.743146319","446574.176568125",""
"3120000","2024312021907500002","2024-01-31","","01","영업/정상","5","영업개시전","","","","","","275.04","","서울특별시 서대문구 대현동 144 신촌럭키아파트 상가동 101호","서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)","03764","GS THE FRESH 신촌이대역점","2024-01-31 14:49:02","I","2023-12-02 00:02:00.0","그 밖의 대규모점포","195332.123380254","450806.05844472",""
"3200000","2024320022507500001","2024-01-30","","01","영업/정상","1","정상영업","","","","","02-882-4458","162.48","","서울특별시 관악구 봉천동 952-1","서울특별시 관악구 국회단지길 7, 1층 (봉천동)","08717","GS THE FRESH 관악은천점","2024-02-01 16:42:24","U","2023-12-02 00:03:00.0","구분없음","194553.838438621","442719.413175605",""
"3120000","2022312019207500001","20220405","","01","영업/정상","1","정상영업","","","","","02-380-5042","998.27","","서울특별시 서대문구 남가좌동 50-3 명지대학교","서울특별시 서대문구 거북골로 34, 명지대학교 (남가좌동)","03674","이마트에브리데이 명지대점","2022-08-30 10:22:23","U","2021-12-09 00:01:00.0","구분없음","193139.52394401","453106.002592232",""
"3210000","2005321007607500007","20150922","","01","영업/정상","1","정상영업","","","","","02-3479-1005","60945.95","","서울특별시 서초구 반포동 19번지 3호","서울특별시 서초구 신반포로 176 (반포동)","","신세계백화점 강남점","2022-04-25 17:07:52","U","2021-12-03 22:07:00.0","백화점","200250.447804795","444683.220506107",""
"3150000","2011315012307500008","2011-10-05","","01","영업/정상","1","정상영업","","","","","000226055602","162.4","157-881","서울특별시 강서구 화곡1동 343번지 52호","서울특별시 강서구 강서로 43 (화곡동)","157-881","롯데쇼핑(주)롯데슈퍼화곡점","2023-05-15 15:53:11","U","2022-12-04 23:07:00.0","그 밖의 대규모점포","186366.013413728","447719.836723478",""
"3230000","2023323029107500001","2023-02-01","","01","영업/정상","1","정상영업","","","","","02-2006-2747","164.83","","서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬","서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)","05767","GS THE FRESH 송파시그니처점","2023-03-09 10:51:44","U","2022-12-02 23:01:00.0","구분없음","213149.522764117","443705.473072412",""
"3150000","2011315012307500006","2011-10-04","","01","영업/정상","1","정상영업","","","","","000226645606","735.3","157-850","서울특별시 강서구 방화2동 533번지 9호","서울특별시 양천로6길 15","157-850","롯데쇼핑(주)롯데슈퍼개화산점","2023-05-15 14:00:38","U","2022-12-04 23:07:00.0","그 밖의 대규모점포","182944.731406147","452207.427296372",""
"3230000","2023323029107500002","2023-02-27","","01","영업/정상","1","정상영업","","","","","02-2006-2747","444.37","","서울특별시 송파구 문정동 618 파크하비오","서울특별시 송파구 송파대로 111, 하비오길동 제1층 호텔로 202동 (문정동, 파크하비오)","05837","GS THE FRESH 송파하비오점","2023-04-10 19:54:33","U","2022-12-03 23:02:00.0","구분없음","210868.397496689","442053.227933005",""
"3020000","2014302009507500002","2014-07-31","","01","영업/정상","1","정상영업","","","","","027115602","643.3","","","서울특별시 용산구 백범로 341 (원효로1가)","140-111","롯데쇼핑(주)롯데슈퍼원효로점","2023-05-04 15:08:19","U","2022-12-05 00:07:00.0","구분없음","197045.849468346","448447.558967085",""
"3140000","2022314016707500001","20010301","","03","폐업","3","폐업처리","20210928","","","","","225.64","","서울특별시 양천구 신정동 1297","서울특별시 양천구 목동동로 190(신정동, 길훈로즈빌)","08010","홈플러스 익스프레스 신정4점","2022-04-13 11:37:49","I","2021-12-03 23:05:00.0","구분없음","188554.940218695","446701.745114511",""
"3170000","2013317014207500001","2013-03-19","","01","영업/정상","1","정상영업","","","","","02-2136-2233","25015.45","153-023","서울특별시 금천구 가산동 60번지 8호","서울특별시 금천구 디지털로10길 9 (가산동)","153-801","현대아울렛","2023-05-01 14:20:32","U","2022-12-05 00:03:00.0","쇼핑센터","190119.463375612","441716.684586176",""
"3240000","2011324013907500014","20111007","","01","영업/정상","1","정상영업","","","","","2290-5853","282.65","134813","서울특별시 강동구 길동 384번지 1호","서울특별시 강동구 성안로 176 (길동)","134813","롯데쇼핑㈜롯데슈퍼길동점","2022-05-16 17:33:24","U","2021-12-04 23:08:00.0","구분없음","211983.181564983","448483.889140704",""
"3100000","1998310009607500001","19981231","","01","영업/정상","1","정상영업","","","","","029314825","7863.67","139748","서울특별시 노원구 상계동 173번지","서울특별시 노원구 한글비석로 396 (상계동)","139748","상계역전종합상가","2022-04-19 18:46:57","U","2021-12-03 22:01:00.0","쇼핑센터","206280.789903642","462002.498987713",""
"3160000","2020316015907500001","20200626","","01","영업/정상","1","정상영업","","","","","02-323-0456","49220.79","","서울특별시 구로구 구로동 573","서울특별시 구로구 구로중앙로 152 (구로동)","08292","이랜드리테일 NC구로점","2022-12-09 09:45:43","U","2021-11-01 23:01:00.0","백화점","189570.360930049","444336.051330144",""
"3180000","1991318011707500001","19910501","","01","영업/정상","1","정상영업","","","","","0226708832","53086.27","150030","서울특별시 영등포구 영등포동 618번지 496호","","","롯데백화점 영등포점","2022-04-14 11:25:46","U","2021-12-03 23:06:00.0","백화점","191741.345847708","445970.307641467",""
"3080000","2011308013907500005","20110909","","01","영업/정상","1","정상영업","","","","","000209441510","8319.26","142100","서울특별시 강북구 미아동 1359번지","서울특별시 강북구 삼양로 247 (미아동)","142100","롯데쇼핑(주) 롯데마트 삼양점","2022-05-24 14:32:18","U","2021-12-04 22:06:00.0","복합쇼핑몰","201494.627293774","458136.342274236",""
"3020000","2022302015007500002","20220629","","01","영업/정상","1","정상영업","","","","","02-3670-0801","9879.92","","서울특별시 용산구 한강로3가 1-1 나진상가","서울특별시 용산구 청파로 109, 나진상가 14동 (한강로3가)","04370","나진전자월드상가","2022-06-29 10:52:49","I","2021-12-07 00:01:00.0","전문점","196697.031086973","447931.108267379",""
"3200000","2014320019107500003","20220325","","01","영업/정상","1","정상영업","","","","","02-877-6661","634.45","","서울특별시 관악구 봉천동 1717-3 관악푸르지오","서울특별시 관악구 청림6길 3, 관악푸르지오 상가동 110,113,114호 (봉천동)","08734","지에스 더 프레시(GS THE FRESH) 관악청림점","2022-04-01 11:03:22","U","2021-12-04 00:03:00.0","구분없음","196384.544308046","442822.980265735",""
"3120000","2021312019207500003","2021-12-20","","01","영업/정상","1","정상영업","","","","","02-373-5601","178.5","","서울특별시 서대문구 홍은동 400-12","서울특별시 서대문구 가좌로 99(홍은동)","03675","롯데프레시 홍은점","2023-08-25 17:54:37","U","2022-12-07 22:07:00.0","구분없음","193440.549915639","453256.425998955",""
"3120000","2024312021907500001","2024-01-31","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","275.04","","서울특별시 서대문구 대현동 144 신촌럭키아파트 상가동 101호","서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)","03764","GS THE FRESH 신촌이대역점","2024-01-31 10:46:53","I","2023-12-02 00:02:00.0","그 밖의 대규모점포","195332.123380254","450806.05844472",""
"3100000","2007310010907500002","2007-08-06","","01","영업/정상","1","정상영업","","","","","9859000","10209","","서울특별시 노원구 하계동 284번지 2호","서울특별시 노원구 한글비석로 57 (하계동, 세이브존)","01784","세이브존","2023-05-17 17:30:56","U","2022-12-04 23:09:00.0","그 밖의 대규모점포","206044.776421388","459360.877718439",""
"3130000","2001313007907500002","1998-07-18","","01","영업/정상","1","정상영업","","","","","300-5062","12337.24","","서울특별시 마포구 성산동 533번지 1호","서울특별시 마포구 월드컵로 235 (성산동)","","마포농수산물시장","2023-05-18 17:40:16","U","2022-12-04 22:00:00.0","시장","190931.000875925","451427.722144609",""
"3220000","2014322016207500008","2012-07-02","","01","영업/정상","1","정상영업","","","","","02-3446-5602","294.9","","","서울특별시 강남구 봉은사로103길 5 (삼성동)","135-873","롯데슈퍼 코엑스점","2023-05-09 15:26:03","U","2022-12-04 22:06:00.0","구분없음","205359.898726792","445864.805913342",""
"3160000","2022316015907500001","2022-03-18","","01","영업/정상","1","정상영업","","","","","02-528-0450","40883.22","","서울특별시 구로구 고척동 100-7","","","고척아이파크쇼핑센터","2023-10-12 17:09:57","U","2022-10-30 23:04:00.0","쇼핑센터","187477.579440706","444045.294921843",""
"3020000","2008302009507500004","19871110","","01","영업/정상","1","정상영업","","","","","02-704-3013","11669.19","","서울특별시 용산구 한강로3가 1번지 1호 나진상가","서울특별시 용산구 청파로 109, 나진상가 (한강로3가)","04370","나진산업 주식회사","2022-04-13 10:19:40","U","2021-12-03 23:05:00.0","전문점","196697.031086973","447931.108267379",""
"3030000","1962303007407500002","19620125","","01","영업/정상","1","정상영업","","","","","00024644426","2861","","서울특별시 성동구 성수동2가 335번지","서울특별시 성동구 성수이로 32-15 (성수동2가)","04776","뚝도시장","2022-04-15 19:12:47","U","2021-12-03 23:07:00.0","시장","204775.366000022","448395.587760252",""
"3070000","2023307029907500003","2023-06-08","","01","영업/정상","1","정상영업","","","","","02-918-5651","80.49","","서울특별시 성북구 하월곡동 62-1","서울특별시 성북구 오패산로4길 17 (하월곡동)","02751","롯데마켓 999 하월곡점","2023-06-08 17:43:48","I","2022-12-05 23:00:00.0","구분없음","203353.798850162","455765.417145198",""
"3050000","2000305008207500003","19600629","","01","영업/정상","1","정상영업","","","","","02-967-8721","15540.7","","서울특별시 동대문구 제기동 1019 경동시장","서울특별시 동대문구 고산자로36길 3, 경동시장 (제기동)","02571","경동시장","2022-04-21 09:11:11","U","2021-12-03 22:03:00.0","시장","203403.019535366","452985.725419514",""
"3100000","2011310018407500002","2011-06-21","","01","영업/정상","1","정상영업","","","","","02-971-5601","397.7","","서울특별시 노원구 공릉동 238번지 53호","서울특별시 노원구 공릉로 144 (공릉동, 공릉빌딩)","01819","롯데쇼핑(주) 롯데슈퍼공릉점","2023-05-15 18:11:12","U","2022-12-04 23:07:00.0","구분없음","206952.444113646","457814.529614419",""
"3020000","2022302015007500003","20220808","","01","영업/정상","1","정상영업","","","","","02-2006-2364","321.65","","서울특별시 용산구 이촌동 302-52 LG프라자","서울특별시 용산구 이촌로 200, LG프라자 지하1층 (이촌동)","04427","GS THE FRESH 용산이촌점","2022-09-27 16:49:41","U","2021-12-08 22:09:00.0","구분없음","197221.439324261","446524.508385914",""
"3120000","2022312019207500002","20220816","","01","영업/정상","1","정상영업","","","","","02-380-5124","1133.21","","서울특별시 서대문구 남가좌동 286-1 DMC금호리첸시아","서울특별시 서대문구 수색로2길 39(남가좌동, DMC금호리첸시아)","03712","이마트에브리데이 남가좌점","2022-08-16 18:05:00","I","2021-12-07 23:08:00.0","구분없음","192482.416512858","452143.491541077",""
"3040000","2022304019007500001","20220713","","01","영업/정상","1","정상영업","","","","","02-2006-2364","203.28","","서울특별시 광진구 구의동 236-53 광진 더프레236","서울특별시 광진구 자양로 168, 102호 (구의동, 광진 더프레236)","05038","GS THE FRESH 광진구의점","2022-07-29 09:46:58","U","2021-12-06 21:01:00.0","구분없음","207400.608063491","448930.683211743",""
"3090000","2003309008707500845","2003-02-03","","01","영업/정상","1","정상영업","","","","","02-954-6442","4036.49","132-731","서울특별시 도봉구 도봉동 30번지 1호 도봉한신쇼핑상가","서울특별시 도봉구 도봉로180나길 41 (도봉동)","132-731","도봉한신쇼핑상가","2023-06-15 14:59:39","U","2022-12-05 23:07:00.0","그 밖의 대규모점포","204169.847670316","464814.717432497",""
"3220000","2022322024907500002","20220915","","01","영업/정상","1","정상영업","","","","","02 2006-2678","198","","서울특별시 강남구 신사동 638-6","서울특별시 강남구 압구정로 312, 신사동동 1층 (신사동)","06017","GS THE FRESH 압구정점","2022-09-15 18:50:39","I","2021-12-08 23:07:00.0","구분없음","203069.441212025","447391.130408384",""
"3100000","2005310009607500004","20050826","","01","영업/정상","1","정상영업","","","","","02950 2500","48227.17","","서울특별시 노원구 상계동 713호","서울특별시 노원구 동일로 1414 (상계동)","139708","롯데백화점 노원점","2022-04-25 20:56:33","U","2021-12-03 22:07:00.0","백화점","205320.28476675","461419.881795004",""
"3010000","2014301013007500006","19960705","","01","영업/정상","1","정상영업","","","","","02-6366-3056","19056.99","","","서울특별시 중구 을지로45길 62 (신당동)","100822","누죤","2020-03-26 17:24:54","U","2020-03-28 02:40:00.0","그 밖의 대규모점포","201092.281213446    ","451637.932708365    ","대규모점포"
"3070000","2022307028607500002","20220418","","01","영업/정상","5","영업개시전","","","","","02-2006-2678","186.6","","서울특별시 성북구 길음동 508-16","서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)","02730","GS THE FRESH 성북클라시아점","2022-04-18 14:16:02","I","2021-12-03 22:00:00.0","구분없음","202328.542538257","456302.296413002",""
"3050000","2022305014007500001","2022-07-11","","01","영업/정상","1","정상영업","","","","","02-721-8286","22487.6","","서울특별시 동대문구 용두동 39-1 청량리역한양수자인그라시엘","서울특별시 동대문구 고산자로32길 78 (용두동, 청량리역한양수자인그라시엘)","02561","청량리역 한양수자인 그라시엘 판매시설","2023-06-29 10:04:00","U","2022-12-07 00:01:00.0","그 밖의 대규모점포","203728.022004023","452778.965235022",""
"3000000","2022300020207500001","2022-06-28","","01","영업/정상","1","정상영업","","","","","02-2006-2678","297","","서울특별시 종로구 무악동 82 무악현대아파트","서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)","03025","GS THE FRESH 무악현대점","2023-07-26 16:02:21","U","2022-12-06 22:08:00.0","대형마트","196467.975088253","452566.134030104",""
"3030000","2023303010307500004","2023-09-14","","01","영업/정상","1","정상영업","","","","","02-499-4519","158.8","","서울특별시 성동구 성수동1가 656-1208 성수만세주유소","서울특별시 성동구 왕십리로 109, 성수만세주유소 1층 (성수동1가)","04768","GS THE FRESG 서울숲점","2023-10-13 10:11:13","I","2022-10-30 23:05:00.0","구분없음","203841.225547969","449475.540141228",""
"3180000","2022318023907500001","2022-12-14","","01","영업/정상","1","정상영업","","","","","02-585-0580","5824.25","","서울특별시 영등포구 당산동2가 165 한화포레나당산","서울특별시 영등포구 당산로 83 (당산동2가, 한화포레나당산)","07264","포레나당산동역세권청년주택 상업시설","2024-01-08 09:44:36","U","2023-11-30 23:00:00.0","그 밖의 대규모점포","","",""
"3040000","2011304015507500005","20111005","","03","폐업","3","폐업처리","20200719","","","","02-2201-8547","194.7","143824","서울특별시 광진구 구의1동 236번지 53호","서울특별시 광진구 자양로 168 (구의동)","143824","홈플러스(주)익스프레스 구의점","2022-09-28 15:13:19","U","2021-12-08 21:00:00.0","구분없음","207400.608063491","448930.683211743",""
"3040000","2011304015507500002","20110922","","01","영업/정상","1","정상영업","","","","","02-463-1903","662.55","143903","서울특별시 광진구 중곡1동 229번지 5호","서울특별시 광진구 긴고랑로11길 11 (중곡동)","143903","(주)이마트에브리데이 중곡동점","2022-09-28 15:14:15","U","2021-12-08 21:00:00.0","구분없음","207114.498872176","451296.049443757",""
"3040000","2011304015507500001","20110922","","03","폐업","3","폐업처리","20200430","","","","000204535605","133.4","143885","서울특별시 광진구 중곡2동 41번지 1호","서울특별시 광진구 긴고랑로 60 (중곡동)","143885","롯데쇼핑(주)롯데슈퍼 중곡점","2022-09-28 15:14:37","U","2021-12-08 21:00:00.0","구분없음","207235.581247334","451072.124043842",""
"3110000","2001311008807500008","20220404","","03","폐업","3","폐업처리","20220405","","","","02-352-8040","3417.4","","서울특별시 은평구 갈현동 467번지 1호","서울특별시 은평구 연서로17길 18-6 (갈현동)","","역촌중앙시장","2022-04-11 13:10:32","U","2021-12-03 23:03:00.0","그 밖의 대규모점포","192534.656897366","456773.714884876",""
"3040000","2012304015507500002","2012-03-21","","01","영업/정상","1","정상영업","","","","","02-3437-5602","132.23","143-817","서울특별시 광진구 구의2동 49번지 4호","서울특별시 광진구 자양로 293 (구의동)","143-817","롯데 FRESH 아차산점","2023-03-30 15:10:12","U","2022-12-04 00:01:00.0","구분없음","208075.543534642","449971.642025946",""
"3100000","2009310010907500001","20090921","","01","영업/정상","1","정상영업","","","","","02-948-2100","12287","139726","서울특별시 노원구 중계2.3동 509번지 2001아울렛","서울특별시 노원구 동일로204가길 46 (중계동)","139726","이천일아울렛 중계점","2022-11-28 09:15:04","U","2021-10-31 21:00:00.0","복합쇼핑몰","205931.05327036","459884.197207567",""
"3150000","2023315020007500001","20230127","","01","영업/정상","1","정상영업","","","","","02","876","","서울특별시 강서구 등촌동 73-1 금부빌딩","서울특별시 강서구 양천로 476, 금부빌딩 (등촌동)","07575","(주)이마트에브리데이 가양역점","2023-01-27 09:46:54","I","2022-11-30 22:09:00.0","구분없음","186966.036176588","451047.287263879",""
"3040000","2012304015507500003","20120321","","03","폐업","3","폐업처리","20180319","","","","000204525601","658.8","143822","서울특별시 광진구 구의3동 218번지 14호 나동","서울특별시 광진구 아차산로 450 (구의동)","143822","롯데쇼핑(주)롯데슈퍼 구의점","2022-09-28 15:12:13","U","2021-12-08 21:00:00.0","구분없음","208087.647208835","448484.131343078",""
"3140000","2022314016707500002","20221004","","01","영업/정상","5","영업개시전","","","","","02-3459-8016","254.4","","서울특별시 양천구 신정동 86-1","서울특별시 양천구 목동동로 196(신정동)","08010","홈플러스 익스프레스 오목교점","2022-10-05 13:25:45","I","2021-10-31 00:07:00.0","구분없음","188565.074701959","446750.881633578",""
"3050000","2018305014007500001","20180125","","01","영업/정상","1","정상영업","","","","","02-380-9461","441.1","","서울특별시 동대문구 제기동 1019번지 신관 2층","서울특별시 동대문구 고산자로36길 3, 2층 (제기동)","02571","노브랜드 경동시장점","2022-04-21 09:41:10","U","2021-12-03 22:03:00.0","구분없음","203403.019535366","452985.725419514",""
"3210000","2016321015507500001","20161201","","03","폐업","3","폐업처리","20220325","","","","02-2006-3215","194.64","","서울특별시 서초구 방배동 795번지 1호","서울특별시 서초구 방배로37길 11, 1층 (방배동, 삼호회관)","06561","(주)지에스리테일 서초방배점","2022-03-28 13:52:53","U","2021-12-02 21:00:00.0","대형마트","198970.448010517","443479.894856733",""
"3050000","2013305014007500002","20131127","","01","영업/정상","1","정상영업","","","","","02-957-2116","3824.55","130050","서울특별시 동대문구 회기동 346번지 18호","서울특별시 동대문구  이문로  37 (회기동)","130050","베라체캠퍼스 에비뉴","2022-04-06 11:28:46","U","2021-12-04 00:08:00.0","그 밖의 대규모점포","204881.313219146","454280.040555974",""
"3030000","2023303010307500001","2023-06-16","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","","467.23","","서울특별시 성동구 하왕십리동 1070 센트라스상가 L동 B102호","서울특별시 성동구 왕십리로 410, L동 지하1층 B102, B103호 (하왕십리동, 센트라스)","04701","GS THE FRESH 성동센트라스점","2023-06-20 09:18:09","U","2022-12-05 22:02:00.0","구분없음","202372.912023599","451536.680876573",""
"3140000","2012314011407500003","20120523","","01","영업/정상","1","정상영업","","","","","0226975602","263","158095","서울특별시 양천구 신월5동 20번지 28호 외 1필지","서울특별시 양천구 월정로46길 11 (신월동,외 1필지)","","롯데쇼핑(주)롯데슈퍼 신월점","2022-04-22 17:15:54","U","2021-12-03 22:04:00.0","구분없음","185164.559946017","448756.033565786",""
