"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3030000","CDFH3301061993000002","19930701","","03","폐업","03","폐업","20040417","","","","","","133880","서울특별시 성동구 홍익동 162-1번지 ","","","신화헬스클럽","2006-01-26 17:56:47","I","2018-08-31 23:59:59.0","","","","체력단련장업","사립","0","","","","","",""
"3060000","CDFH3301062022000006","20220516","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 묵동 174-29","서울특별시 중랑구 공릉로 18, 3층 (묵동)","02034","J-PT","2022-05-16 17:43:56","I","2021-12-04 23:08:00.0","","206823.165967179","456686.933363648","","","","","","","","",""
"3220000","CDFH3301062014000025","2014-06-02","","01","영업/정상","13","영업중","","","","","02-577-5079","","135-857","서울특별시 강남구 도곡동 545-14 양재벤처타워 지하2층","서울특별시 강남구 도곡로 182 (도곡동)","06261","휴메이크 휘트니스","2023-07-04 09:51:33","U","2022-12-07 00:06:00.0","","203407.8160666","443259.898442295","","","","","","","","",""
"3210000","CDFH3301062023000016","2023-07-05","","01","영업/정상","13","영업중","","","","","02-598-8466","","","서울특별시 서초구 서초동 1599-2 LG서초에클라트","서울특별시 서초구 반포대로14길 71, LG서초에클라트 지하1층 (서초동)","06651","웨이브휘트니스","2023-07-05 11:37:50","I","2022-12-07 00:07:00.0","","201213.64069933","442739.647017252","","","","","","","","",""
"3220000","CDFH3301062023000030","2023-07-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 도곡동 951-15","서울특별시 강남구 남부순환로351길 22-8, 지하1층 (도곡동)","06266","챔스PT","2023-07-05 08:55:06","I","2022-12-07 00:07:00.0","","202993.285104476","442668.63848041","","","","","","","","",""
"3230000","CDFH3301062023000021","2023-07-05","","01","영업/정상","13","영업중","","","","","02-401-7763","","","서울특별시 송파구 가락동 180-10 가락동양씨빌딩","서울특별시 송파구 문정로 141, 가락동양씨빌딩 3층 (가락동)","05782","올바른필라테스&PT","2023-07-05 10:20:10","I","2022-12-07 00:07:00.0","","211904.88368033","443361.403941355","","","","","","","","",""
"3110000","CDFH3301062024000001","2024-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 역촌동 43-77 302호","서울특별시 은평구 진흥로 29, 3층 302호 (역촌동)","03409","해야 GYM?PT","2024-03-05 09:33:08","I","2023-12-03 00:07:00.0","","192752.701315157","455364.744276154","","","","","","","","",""
"3200000","CDFH3301062015000010","2015-12-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 봉천동 949-20","서울특별시 관악구 남부순환로 1685, 지층 (봉천동)","08756","쿠타(본점)","2023-03-08 13:51:21","U","2022-12-02 23:00:00.0","","194436.800887613","442470.26716103","","","","","","","","",""
"3130000","CDFH3301062023000010","2023-03-09","","01","영업/정상","13","영업중","","","","","02-6949-4414","","","서울특별시 마포구 동교동 158-1","서울특별시 마포구 월드컵북로2길 57, 2층 (동교동)","03995","지투짐","2023-03-09 13:53:45","I","2022-12-02 23:01:00.0","","193152.9532924","450583.535273718","","","","","","","","",""
"3130000","CDFH3301062023000011","2023-03-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 472-15","서울특별시 마포구 월드컵로 161, 3층 (망원동)","03962","펀짐","2023-03-09 18:05:20","I","2022-12-02 23:01:00.0","","191482.814368332","451079.570059339","","","","","","","","",""
"3230000","CDFH3301062023000010","2023-03-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 잠실동 185-7","서울특별시 송파구 백제고분로7길 54, 2층 (잠실동)","05559","모 핏 (MO Fit)","2023-03-09 14:21:42","I","2022-12-02 23:01:00.0","","207431.833885174","445383.091889694","","","","","","","","",""
"3060000","CDFH3301062023000003","2023-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 180-12 거흥빌딩","서울특별시 중랑구 봉우재로14길 23, 거흥빌딩 4층 (면목동)","02130","토니바디 휘트니스","2023-03-10 11:12:01","I","2022-12-02 23:02:00.0","","206857.195726672","454139.312316693","","","","","","","","",""
"3230000","CDFH3301062021000036","2021-12-13","","01","영업/정상","13","영업중","","","","","02-418-7172","","","서울특별시 송파구 방이동 193-16 동호빌딩 201호","서울특별시 송파구 양재대로71길 30, 동호빌딩 201호 (방이동)","05637","리부트짐(Reboot gym)","2023-03-10 07:51:43","U","2022-12-02 23:02:00.0","","210878.872974848","445465.514723618","","","","","","","","",""
"3200000","CDFH3301062021000009","2021-05-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 봉천동 702-49","서울특별시 관악구 보라매로 13, 지하2층 (봉천동)","08708","짐 인 더 하우스 2호점","2023-03-09 14:59:27","U","2022-12-02 23:02:00.0","","193481.099048344","443157.363464064","","","","","","","","",""
"3140000","CDFH3301062023000006","2023-03-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신월동 536-3 도이치빌딩","서울특별시 양천구 신월로 177, 도이치빌딩 지하1층 (신월동)","08030","팬덤짐","2023-03-11 09:34:16","I","2022-12-02 23:03:00.0","","186032.300802064","446327.093480641","","","","","","","","",""
"3220000","CDFH3301062023000011","2023-03-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 668-12 석교빌딩","서울특별시 강남구 봉은사로30길 70, 석교빌딩 지하1층 (역삼동)","06140","레벨업핏","2023-04-19 08:23:24","U","2022-12-03 22:01:00.0","","203175.081698508","444532.302009952","","","","","","","","",""
"3090000","CDFH3301062005000004","2005-12-06","","01","영업/정상","13","영업중","","","","","","","132-922","서울특별시 도봉구 창동 632-61","서울특별시 도봉구 덕릉로53길 82, 3,4층 (창동)","01466","벙커짐","2023-07-05 09:22:35","U","2022-12-07 00:07:00.0","","202976.97083457","459813.502424295","","","","","","","","",""
"3130000","CDFH3301062015000011","2015-07-01","","01","영업/정상","13","영업중","","","","","02-6440-7227","","121-835","서울특별시 마포구 상암동","서울특별시 마포구 월드컵북로60길 24 (상암동, 상암 IT센터 2층)","03922","demarq 상암SDS 피트니스센터","2023-11-01 15:27:37","U","2022-11-01 00:03:00.0","","189965.528022741","453407.061357665","","","","","","","","",""
"3130000","CDFH3301062024000007","2024-03-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 593-6","서울특별시 마포구 모래내로1길 8, B201호 (성산동)","03938","크로스핏 파밀리아","2024-03-01 10:05:34","I","2023-12-03 00:03:00.0","","191463.015307243","451388.141256633","","","","","","","","",""
"3220000","CDFH3301062007000007","2007-06-07","","01","영업/정상","13","영업중","","","","","515-6116","","135-829","서울특별시 강남구 논현동 221-5 M빌딩 B2","서울특별시 강남구 논현로 626 (논현동,M빌딩 B2)","","아인스 휘트니스","2023-11-24 08:55:29","U","2022-10-31 22:06:00.0","","202868.545","445258.095","","","","","","","","",""
"3230000","CDFH3301062024000008","2024-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 오금동 23-2 제이에스빌딩 2층","서울특별시 송파구 마천로 83, 제이에스빌딩 2층 (오금동)","05656","짐엑스 방이역점","2024-03-05 17:56:41","I","2023-12-03 00:07:00.0","","211382.424686224","445029.112139333","","","","","","","","",""
"3240000","CDFH3301062022000025","2022-02-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 암사동 462 2층","서울특별시 강동구 올림픽로 826, 2층 (암사동)","05251","얼티밋 포텐셜짐","2024-03-05 11:41:40","I","2023-12-03 00:07:00.0","","211366.767437244","450263.240805791","","","","","","","","",""
"3230000","CDFH3301062023000037","2023-11-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 149-9 거보산업(주)","서울특별시 송파구 백제고분로 490, 거보산업(주) 지하1층 (방이동)","05631","강 PT","2023-11-02 10:14:38","I","2022-11-01 00:04:00.0","","210079.592497353","445750.206337916","","","","","","","","",""
"3150000","CDFH3301062023000003","2023-03-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 등촌동 634","서울특별시 강서구 공항대로59길 80-6, B01호 (등촌동)","07552","사나티오 PT스튜디오","2023-10-24 17:20:48","U","2022-10-30 22:06:00.0","","187872.904724994","450315.10071276","","","","","","","","",""
"3230000","CDFH3301062023000011","2023-03-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 163-9","서울특별시 송파구 위례성대로12길 34, 2층 (방이동)","05635","더 피지컬PT","2023-03-14 10:00:03","I","2022-12-02 23:06:00.0","","210641.203563637","445424.024039525","","","","","","","","",""
"3010000","CDFH3301061998000003","1998-03-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 무교동 19 대한체육회 체육회관","서울특별시 중구 무교로 16, 대한체육회 체육회관 (무교동)","04522","피트니스온 서울시청점","2023-03-14 08:14:33","U","2022-12-02 23:06:00.0","","198123.904576393","451671.110698942","","","","","","","","",""
"3240000","CDFH3301062023000007","2023-03-15","","01","영업/정상","13","영업중","","","","","02-477-8878","","","서울특별시 강동구 천호동 425-5 대우 한강 베네시티(B1층, 5,6,10호)","서울특별시 강동구 올림픽로 664, B1층 5,6,10호 (천호동, 대우 한강 베네시티)","05328","파이어짐","2023-03-15 08:59:05","I","2022-12-02 23:07:00.0","","210970.75707265","448713.31669728","","","","","","","","",""
"3100000","CDFH3301062023000003","2023-03-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 월계동 379-36","서울특별시 노원구 석계로 106, 지하1층 (월계동)","01886","버닝존","2023-03-15 14:11:51","U","2022-12-02 23:07:00.0","","205264.58610345","457866.835337041","","","","","","","","",""
"3160000","CDFH3301062020000003","2020-05-08","","03","폐업","03","폐업","2023-03-15","","","","02-2066-2356","","","서울특별시 구로구 항동 122 항동프라자","서울특별시 구로구 서해안로 2098, 항동프라자 401호 (항동)","08368","FORWARD GYM","2023-03-15 14:47:18","U","2022-12-02 23:07:00.0","","184307.007990801","441975.356924364","","","","","","","","",""
"3030000","CDFH3301062019000002","2019-03-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동2가 284-62","서울특별시 성동구 성수일로10길 26, 204호 (성수동2가)","04793","나의 근육 사용설명서","2023-03-15 11:07:08","U","2022-12-02 23:07:00.0","","204607.548949327","449380.324793135","","","","","","","","",""
"3110000","CDFH3301062015000002","2015-03-24","","03","폐업","03","폐업","2022-12-31","","","","02-383-8055","","","서울특별시 은평구 갈현동 430-12 4층동","서울특별시 은평구 연서로29길 34, 4층 (갈현동)","03330","웰니스 짐","2023-03-15 09:21:52","U","2022-12-02 23:07:00.0","","192604.275157665","457522.216118862","","","","","","","","",""
"3060000","CDFH3301062023000004","2023-03-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 353-47","서울특별시 중랑구 면목로 275-1, 3층 (면목동)","02240","트루짐","2023-03-16 15:26:42","I","2022-12-02 23:08:00.0","","207497.732897437","452801.624163005","","","","","","","","",""
"3240000","CDFH3301062021000014","2021-12-20","","03","폐업","03","폐업","2023-03-16","","","","","","","서울특별시 강동구 성내동 465-2 드림팩토리","서울특별시 강동구 성안로3길 39, 드림팩토리 (성내동)","05402","드림팩토리 Gym","2023-03-16 10:19:29","U","2022-12-02 23:08:00.0","","211203.644844874","447117.977682675","","","","","","","","",""
"3130000","CDFH3301062019000006","2019-03-20","","03","폐업","03","폐업","2023-03-16","","","","070-8160-9688","","","서울특별시 마포구 구수동 6-8","서울특별시 마포구 독막로 176, 4층 (구수동)","04087","시너짐(SYNERGYM)","2023-03-16 14:09:53","U","2022-12-02 23:08:00.0","","194014.30771856","449443.987812619","","","","","","","","",""
"3220000","CDFH3301062021000046","2021-08-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 압구정동 481 현대아파트","서울특별시 강남구 압구정로 309, 상가A 202동 2층 (압구정동, 현대아파트)","06006","큐짐","2023-03-17 15:49:43","U","2022-12-02 23:09:00.0","","203062.78452284","447663.86257666","","","","","","","","",""
"3020000","CDFH3301062013000004","2013-06-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 이촌동 302-52 LG프라자","서울특별시 용산구 이촌로 200, LG프라자 301호 (이촌동)","04427","반트짐","2023-03-17 13:28:57","U","2022-12-02 23:09:00.0","","197221.439324261","446524.508385914","","","","","","","","",""
"3210000","CDFH3301062009000003","2009-05-14","","01","영업/정상","13","영업중","","","","","525-5944-5","","","서울특별시 서초구 방배동 901-1","서울특별시 서초구 방배로 132, 지하1~2층 (방배동)","06664","비나이더 방배점","2023-03-17 09:06:35","U","2022-12-02 23:09:00.0","","199498.601035344","442648.742902881","","","","","","","","",""
"3210000","CDFH3301062023000004","2023-03-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 방배동 773-12 세진빌딩","서울특별시 서초구 방배로42길 36-4, 세진빌딩 4층 401호 (방배동)","06584","운동록","2023-03-20 17:26:02","I","2022-12-02 22:02:00.0","","199049.809131158","443585.247747677","","","","","","","","",""
"3150000","CDFH3301062021000040","2021-12-23","","01","영업/정상","13","영업중","","","","","02-3663-1102","","","서울특별시 강서구 마곡동 795-7 열린프라자","서울특별시 강서구 마곡중앙6로 93, 열린프라자 402호 (마곡동)","07803","지금 여기","2023-03-20 10:12:25","U","2022-12-02 22:02:00.0","","185590.150482304","450885.185701751","","","","","","","","",""
"3240000","CDFH3301062023000009","2023-03-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 천호동 24-5 3층","서울특별시 강동구 양재대로 1621, 3층 (천호동)","05306","엔터핏 명일점","2023-07-28 09:21:25","U","2022-12-06 21:00:00.0","","212625.418681978","449801.886992692","","","","","","","","",""
"3040000","CDFH3301062023000005","2023-03-15","","03","폐업","03","폐업","2023-10-20","","","","","","","서울특별시 광진구 자양동 553-428 보은빌딩","서울특별시 광진구 뚝섬로 523, 보은빌딩 지층 (자양동)","05074","에이투짐(A2GYM)","2023-10-20 10:06:40","U","2022-10-30 22:02:00.0","","205957.334963839","448148.563344309","","","","","","","","",""
"3170000","CDFH3301062023000007","2023-07-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 371-63","서울특별시 금천구 가산디지털1로 146, 201,202,210,211호 (가산동)","08507","솔트스포츠","2024-02-20 19:42:53","U","2023-12-01 22:02:00.0","","189590.415184668","441837.131445595","","","","","","","","",""
"3190000","CDFH3301062023000001","2023-03-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 대방동 39-2","서울특별시 동작구 등용로 123, 3층 (대방동)","06940","피트니스 890","2023-03-21 14:46:15","I","2022-12-02 22:03:00.0","","193883.887524934","445532.307900164","","","","","","","","",""
"3090000","CDFH3301062021000001","2021-06-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 창동 593-7","서울특별시 도봉구 도봉로110라길 69-6, 3층 (창동)","01463","핏오짐4","2023-03-21 09:15:04","U","2022-12-02 22:03:00.0","","203163.522380916","460063.798710357","","","","","","","","",""
"3090000","CDFH3301062000000002","2000-05-31","","01","영업/정상","13","영업중","","","","","","","132-903","서울특별시 도봉구 창동 75-1","서울특별시 도봉구 노해로65길 14-3, 4층 (창동)","132-903","핏오짐1","2023-03-21 09:16:41","U","2022-12-02 22:03:00.0","","204059.248950074","461078.504559119","","","","","","","","",""
"3180000","CDFH3301062023000003","2023-03-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 영등포동7가 208 포레나 영등포 센트럴","서울특별시 영등포구 국회대로50길 20, 상가동 2층 21호 (영등포동7가, 포레나 영등포 센트럴)","07246","LIFE STRENGTH GYM","2023-03-24 15:09:23","I","2022-12-02 22:06:00.0","","191586.660635006","446798.452967557","","","","","","","","",""
"3220000","CDFH3301062023000013","2023-03-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 809 비제바노","서울특별시 강남구 강남대로 464, 비제바노 지하1층 (역삼동)","06123","짐박스피트니스 강남점","2023-03-27 16:51:40","I","2022-12-02 22:09:00.0","","202161.020617773","444633.499865115","","","","","","","","",""
"3050000","CDFH3301062023000002","2023-03-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 전농동 620-6","서울특별시 동대문구 왕산로 190, 청량리역 렉스프라임 B2층 (전농동)","02559","트렌디우먼휘트니스 청량리역점","2023-03-27 17:20:16","I","2022-12-02 22:09:00.0","","203855.398612378","453027.716385353","","","","","","","","",""
"3080000","CDFH3301062023000003","2023-03-27","","01","영업/정상","13","영업중","","","","","0507-1340-7281","","","서울특별시 강북구 수유동 740 에피소드 수유 838","서울특별시 강북구 도봉로 315, 지하1층 (수유동, 에피소드 수유 838)","01073","에이블짐 수유역점","2023-03-27 12:30:37","I","2022-12-02 22:09:00.0","","202007.139170813","459396.553581885","","","","","","","","",""
"3220000","CDFH3301062023000014","2023-03-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 수서동 451-7 갑산한의원","서울특별시 강남구 광평로46길 4, 갑산한의원 3층 (수서동)","06362","뭄핏","2023-03-28 16:59:14","I","2022-12-02 21:00:00.0","","208685.701158824","442633.174843492","","","","","","","","",""
"3210000","CDFH3301062023000006","2023-03-28","","01","영업/정상","13","영업중","","","","","02-595-1030","","","서울특별시 서초구 방배동 763-32 가우디빌딩","서울특별시 서초구 방배중앙로29길 21, 가우디빌딩 4층 (방배동)","06554","짐 레빗(Gym Revit)","2023-03-28 17:30:37","I","2022-12-02 21:00:00.0","","198544.950903405","443799.513327816","","","","","","","","",""
"3220000","CDFH3301062019000016","2019-07-01","","01","영업/정상","13","영업중","","","","","070-4924-7334","","","서울특별시 강남구 역삼동 773-6 아폴로빌딩","서울특별시 강남구 언주로 327, 아폴로빌딩 2층 (역삼동)","06226","안강병원 헬스장","2023-07-06 15:51:40","U","2022-12-07 00:08:00.0","","203902.605","443874.3","","","","","","","","",""
"3140000","CDFH3301062001000001","2001-01-19","","01","영업/정상","13","영업중","","","","","","","158-857","서울특별시 양천구 신정동 902-10","서울특별시 양천구 오목로 233 (신정동)","07945","서문석 헬스GYM (WBPF / ABBF KOREA)","2023-11-02 17:13:15","U","2022-11-01 00:04:00.0","","187849.02266227","447109.428861066","","","","","","","","",""
"3220000","CDFH3301062023000012","2023-03-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 699-1","서울특별시 강남구 언주로98길 5-4, 2층 (역삼동)","06147","트러스트짐","2023-03-22 09:20:00","I","2022-12-02 22:04:00.0","","203687.332325696","444788.773110842","","","","","","","","",""
"3130000","CDFH3301062023000012","2023-03-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 상수동 324-9","서울특별시 마포구 독막로 86, 3층 (상수동)","04074","피트니스안","2023-03-22 19:00:31","I","2022-12-02 22:04:00.0","","193105.308889985","449473.447829865","","","","","","","","",""
"3090000","CDFH3301062021000002","2021-07-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 방학동 669-3","서울특별시 도봉구 방학로 173 (방학동)","01384","져스트 짐","2023-03-22 20:11:49","U","2022-12-02 22:04:00.0","","202834.277755281","462194.074212594","","","","","","","","",""
"3100000","CDFH3301062017000005","2017-06-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 591","서울특별시 노원구 한글비석로 384, B02,3,4,5호 (중계동, 대호프라자)","01662","밀리언짐 상계","2023-03-22 15:37:10","U","2022-12-02 22:04:00.0","","206399.072338658","461941.955622232","","","","","","","","",""
"3090000","CDFH3301062019000002","2019-03-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 쌍문동 96-4 우림빌딩","서울특별시 도봉구 도봉로 461, 우림빌딩 2층 (쌍문동)","01447","고핏짐","2023-03-28 13:07:53","U","2022-12-02 21:00:00.0","","202871.080504567","460522.031748747","","","","","","","","",""
"3170000","CDFH3301062019000005","2019-10-30","","01","영업/정상","13","영업중","","","","","02-864-8835","","","서울특별시 금천구 가산동 550-1 IT캐슬","서울특별시 금천구 가산디지털2로 98, IT캐슬 (가산동)","08506","머슬컴퍼니","2023-03-29 08:58:18","U","2022-12-02 21:01:00.0","","189369.53962474","441629.361414684","","","","","","","","",""
"3220000","CDFH3301062014000029","2014-07-03","","01","영업/정상","13","영업중","","","","","02-545-7590","","135-867","서울특별시 강남구 삼성동 32-16 지하2층","서울특별시 강남구 봉은사로57길 42 (삼성동)","06093","Felix Gym","2023-03-29 09:24:32","U","2022-12-02 21:01:00.0","","203853.673958073","445693.49231457","","","","","","","","",""
"3060000","CDFH3301062023000005","2023-03-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 507-26 수연one","서울특별시 중랑구 용마산로 328, 수연one 3층 (면목동)","02196","마스터피스짐 3호","2023-03-30 09:27:29","I","2022-12-04 00:01:00.0","","208203.464125468","453200.90180214","","","","","","","","",""
"3120000","CDFH3301062020000003","2020-09-14","","01","영업/정상","13","영업중","","","","","02-312-8296","","","서울특별시 서대문구 북아현동 221-7 백상빌딩","서울특별시 서대문구 신촌로 231, 백상빌딩 지하1층 8호 (북아현동)","03774","운동하는날","2023-03-29 13:45:32","U","2022-12-04 00:01:00.0","","195643.865636259","450576.385496383","","","","","","","","",""
"3230000","CDFH3301062013000009","2013-07-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 신천동 17-4 파크리오A상가 305호","서울특별시 송파구 올림픽로37길 130, 파크리오A상가 305호 (신천동)","05507","본앤머슬","2023-03-30 18:20:21","U","2022-12-04 00:01:00.0","","209151.713940169","446519.612162961","","","","","","","","",""
"3240000","CDFH3301062022000011","2022-06-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 암사동 515-20 동경빌딩","서울특별시 강동구 상암로4길 16, 동경빌딩 5층 (암사동)","05242","올바른 PT 암사점","2023-03-31 10:00:26","U","2022-12-04 00:02:00.0","","211082.098204558","449739.719915077","","","","","","","","",""
"3220000","CDFH3301062022000019","2022-04-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 도곡동 538-1","서울특별시 강남구 선릉로 227, 지하1층 1호 (도곡동)","06275","김대현피티스튜디오 도곡한티역점","2023-03-31 13:49:53","U","2022-12-04 00:02:00.0","","204593.143677064","443737.546544287","","","","","","","","",""
