"연번","서ㆍ센터ID","서ㆍ센터명","유형구분명","도서지역포함여부","상위서ㆍ센터ID","일련번호","X좌표","Y좌표"
"124","1127401","행당119안전센터","안전센터/구조대"," ","1127000","166","203478.78306200","550454.88151200"
"125","1127000","성동소방서","소방서"," ","1100000","167","203491.17069700","550460.99593000"
"126","1105103","능동119안전센터","안전센터/구조대"," ","1105000","168","206799.95719400","550240.66881600"
"127","1126304","뚝섬수난구조대","안전센터/구조대"," ","1105000","169","205355.39075400","547981.18054200"
"128","1105000","광진소방서","소방서"," ","1100000","170","207312.91967300","549483.16212200"
"129","1105402","구조대","안전센터/구조대"," ","1105000","171","207318.93658300","549481.43352800"
"130","1105401","구의119안전센터","안전센터/구조대"," ","1105000","172","207305.85009000","549485.43858600"
"131","1114107","세곡119안전센터","안전센터/구조대"," ","1114000","173","209487.11495600","541229.37768100"
"132","1100512","본부현장대응단","안전센터/구조대"," ","1100000","174","199041.96291300","551037.28760900"
"133","1117106","마곡119안전센터","안전센터/구조대"," ","1117000","175","184158.52910600","550727.28555100"
"134","1118106","강일119안전센터","안전센터/구조대"," ","1118000","176","215876.12877900","550883.69423800"
"135","1126307","광나루수난구조대","안전센터/구조대"," ","1126000","177","210400.25000000","549496.70000000"
"136","1110108","쌍문119안전센터","안전센터/구조대"," ","1110000","1","202367.98100000","560953.28700000"
"137","1125000","강북소방서","소방서"," ","1100000","2","203372.13415000","559271.25373500"
"138","1125101","번동119안전센터","안전센터/구조대"," ","1125000","3","203369.03920700","559276.67560400"
"139","1125201","구조대","안전센터/구조대"," ","1125000","4","203375.74270700","559265.79495200"
"140","1113105","공덕119안전센터","안전센터/구조대"," ","1113000","5","196444.77984900","550061.60010800"
"141","1103108","종로119안전센터","안전센터/구조대"," ","1103000","6","199314.85600000","552411.26800000"
"142","1103000","종로소방서","소방서"," ","1100000","7","198136.56227900","552591.17803500"
"143","1103102","세종로119안전센터","안전센터/구조대"," ","1103000","8","198138.07827900","552597.22503500"
"144","1112105","녹번119안전센터","안전센터/구조대"," ","1112000","9","194253.57539800","555729.36896400"
"145","1112202","119구조대","안전센터/구조대"," ","1112000","10","192919.99074300","558806.00204700"
"146","1116102","봉천119안전센터","안전센터/구조대"," ","1116000","11","194824.20500000","542949.90000000"
"147","1120106","가락119안전센터","안전센터/구조대"," ","1120000","12","210034.27309200","544119.02997100"
"148","1113103","염리119안전센터","안전센터/구조대"," ","1113000","13","195187.58053200","549133.37920800"
"149","1119108","공단119안전센터","안전센터/구조대"," ","1119000","14","191021.31692500","542757.69176900"
"150","1108000","영등포소방서","소방서"," ","1100000","15","191526.84214200","546560.60757000"
"151","1108101","영등포119안전센터","안전센터/구조대"," ","1108000","16","191529.16114200","546547.26857000"
"152","1108201","구조대","안전센터/구조대"," ","1108000","17","191531.84814200","546551.60057000"
"153","1114000","강남소방서","소방서"," ","1100000","18","205904.58100000","545647.84700000"
"154","1114402","구조대","안전센터/구조대"," ","1114000","19","205898.61273600","545643.35293400"
"155","1114401","삼성119안전센터","안전센터/구조대"," ","1114000","20","205916.57700000","545650.85200000"
"156","1117104","발산119안전센터","안전센터/구조대"," ","1117000","21","185588.49400000","550648.75300000"
"157","1108103","당산119안전센터","안전센터/구조대"," ","1108000","22","191092.14100000","548448.62200000"
"158","1115104","서초119안전센터","안전센터/구조대"," ","1115000","23","202439.13682300","543179.17255600"
"159","1123101","연희119안전센터","안전센터/구조대"," ","1123000","24","194344.55800000","552625.20700000"
"160","1113106","성산119안전센터","안전센터/구조대"," ","1113000","25","191440.25100200","552344.46175200"
"161","1118000","강동소방서","소방서"," ","1100000","26","211043.48766900","547760.41718700"
"162","1122102","면목119안전센터","안전센터/구조대"," ","1122000","27","207055.48100000","552592.48200000"
"163","1122103","망우119안전센터","안전센터/구조대"," ","1122000","28","208881.69428000","555365.98482400"
"164","1120102","거여119안전센터","안전센터/구조대"," ","1120000","29","213423.65221500","543861.49954700"
"165","1118101","성내119안전센터","안전센터/구조대"," ","1118000","30","211038.26813400","547762.82036500"
"166","1118103","고덕119안전센터","안전센터/구조대"," ","1118000","31","213433.65025300","550859.46803300"
"167","1118104","암사119안전센터","안전센터/구조대"," ","1118000","32","211367.26236500","550503.15847600"
"168","1118201","구조대","안전센터/구조대"," ","1118000","33","211050.11338200","547757.01500800"
"169","1110106","도봉119안전센터","안전센터/구조대"," ","1110000","34","203608.20240000","565323.04060000"
"170","1122104","중화119안전센터","안전센터/구조대"," ","1122000","35","207004.39900000","555658.69300000"
"171","1109103","길음119안전센터","안전센터/구조대"," ","1109000","36","201690.03400000","555917.92400000"
"172","1109104","장위119안전센터","안전센터/구조대"," ","1109000","37","205140.28277500","557337.14159500"
"173","1125102","우이119안전센터","안전센터/구조대"," ","1125000","38","201461.94131900","560141.80109200"
"174","1125103","미아119안전센터","안전센터/구조대"," ","1125000","39","202500.72325800","557825.97995000"
"175","1111000","노원소방서","소방서"," ","1100000","40","206278.71010600","559835.89427800"
"176","1110000","도봉소방서","소방서"," ","1100000","41","203797.40450000","562711.42238400"
"177","1111102","상계119안전센터","안전센터/구조대"," ","1111000","42","206323.82300000","561714.88622100"
